Navn,Drengenavn,Pigenavn
Rosen,Ja,Ja
Roshan,Ja,Ja
Rudi,Ja,Ja
Rudra,Ja,Ja
Rudy,Ja,Ja
Ruepawadee,Ja,Ja
Ruhan,Ja,Ja
Ruhat,Ja,Ja
Ruhi,Ja,Ja
Ruiyang,Ja,Ja
Rukan,Ja,Ja
Rumi,Ja,Ja
Run,Ja,Ja
Ruoyi,Ja,Ja
Ryan,Ja,Ja
Ryle,Ja,Ja
Saadat,Ja,Ja
Sabah,Ja,Ja
Sabri,Ja,Ja
Sacha,Ja,Ja
Sada,Ja,Ja
Sadaf,Ja,Ja
Sade,Ja,Ja
Safa,Ja,Ja
Safi,Ja,Ja
Safir,Ja,Ja
Sage,Ja,Ja
Sahal,Ja,Ja
Sakhi,Ja,Ja
Saki,Ja,Ja
Salam,Ja,Ja
Sale,Ja,Ja
Salem,Ja,Ja
Sali,Ja,Ja
Sally,Ja,Ja
Sam,Ja,Ja
Saman,Ja,Ja
Samar,Ja,Ja
Samara,Ja,Ja
Sameer,Ja,Ja
Samer,Ja,Ja
Sami,Ja,Ja
Sammi,Ja,Ja
Sammie,Ja,Ja
Sammy,Ja,Ja
Samoon,Ja,Ja
Samsam,Ja,Ja
San,Ja,Ja
Sana,Ja,Ja
Sanam,Ja,Ja
Sandi,Ja,Ja
Sandy,Ja,Ja
Sang,Ja,Ja
Sanny,Ja,Ja
Sar,Ja,Ja
Sari,Ja,Ja
